"№",Название,Кол-во,Опер.,Акт.,ID
"",,,,
"---",---------------------------Рогатки---------------------------,---,---,---,----------------
"",,,,
1,Жгут для рогатки 1м,2," "," ",703866257
2,Рогатка Chenkedangong,0," "," ",30646582
3,Рогатка Chenkedangong 2,0," "," ",30646598
4,Рогатка Man Kung с упором для руки,0," "," ",22102718
5,Рогатка Slingshot classic model 3030,0," "," ",22102949
6,Рогатка Slingshot model 3061,0," "," ",22102967
7,Рогатка без упора для руки,0," "," ",22102980
8,Рогатка большая с упором для руки,0," "," ",22102994
9,Рогатка малая без упора для руки,0," "," ",22103013
10,Рогатка средняя с упором для руки,0," "," ",22103035
11,Шарики для рогатки,1," "," ",22103063
"",,,,
"---",---------------------------Сошки и упоры для стрельбы---------------------------,---,---,---,----------------
"",,,,
12,Сошки Diana для мод. 28-350  300R/460,0," "," ",59179630
13,Сошки Diana для мод. 48-52-54,0," "," ",59180226
14,Сошки винтовочные JW-11,0," "," ",54728098
15,Сошки нерегулируемые,0," "," ",54728513
16,Трипод Decoy,0," "," ",54728380
"",,,,
"---",---------------------------Запчасти к стартовому оружию---------------------------,---,---,---,----------------
"",,,,
17,Блок бойка Stalker 917,2," "," ",981476613
18,Боевая пружина Stalker 917,50," "," ",1150134953
19,Боек Ekol Gediz,0," "," ",749212550
20,Боек на Ekol Volga  Botan,7," "," ",1150074780
21,Боек на Stalker 914,0," "," ",970195138
22,Боек на стартовые пистолеты EKOL,0," "," ",661418568
23,Боек на стартовые пистолеты Ekol Major  Ekol Lady,83," "," ",721425900
24,Боек на стартовый пистолет Ekol Aras Compact,7," "," ",721446951
25,Боек на стартовый пистолет Ekol Firat Magnum,3," "," ",775232271
26,Боек на стартовый пистолет Ekol P29 REVII,31," "," ",745996547
27,Боек с пружиной на стартовый пистолет Ekol P29 REVII,22," "," ",733514695
28,Винт бойка 4303.02İS Ekol Jediz,1," "," ",777500140
29,Возвратная пружина на Ekol ALP,1," "," ",744007945
30,Возвратная пружина на Ekol Firat Magnum,0," "," ",742793041
31,Возвратная пружина на Ekol Major  Lady  Majarov,8," "," ",742785424
32,Возвратная пружина на Ekol P29 REVII,5," "," ",744007719
33,Возвратная пружина на Stalker (Zoraki) 914  2924,196," "," ",1134130791
34,Выбрасыватель Retay mod.92,24," "," ",1155281587
35,Выбрасыватель Stalker 914,9," "," ",970989478
36,Выбрасыватель для стартового пистолета Stalker 917,25," "," ",689346921
37,Затвор EKOL MAJOR с защелкой,0," "," ",661403864
38,Затвор выбрасывателя Ekol Aras Compact,19," "," ",705757923
39,Затворная задержка Ekol Aras Compact,0," "," ",648644055
40,Затворная задержка Ekol Aras Compact (золото),0," "," ",648685990
